NOMBRE SEDE	sector	s11Y2016	eval_puntaje	Tipo de educación	DIRECCIÓN	Latitud	Longitud	Localidad	texto
COL COLOMBO BRIGHTON - SEDE PRINCIPAL	NO OFICIAL	16	265375	TRADICIONAL	CL 165 B 56 A 49	4.748233333	-74.05866667	SUBA	C001
CENT EDUC PARA JOVENES Y ADULTOS LEPANTO	NO OFICIAL	18	2328889	PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS	KR 6 21 A 19 SUR	4.571530556	-74.092625	SAN CRISTOBAL	C002
NUEVO LIC GRANADINO	NO OFICIAL	23	2669565	TRADICIONAL	KR 88 G 60 45 SUR	4.605258333	-74.182075	BOSA	C003
COL BRITANICO SEDE KENNEDY	NO OFICIAL	39	2456923	PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS	KR 80 38 28 SUR	4.623572222	-74.15299722	KENNEDY	C004
CENT EDUC WILFREDO LEHNER	NO OFICIAL	46	2639348	TRADICIONAL	CL 65 G SUR 77 J 10	4.598536111	-74.18471667	BOSA	C005
COL COLOMBO JAPONES	NO OFICIAL	35	2360857	PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS & TRADICIONAL	CL 63 SUR 77 M 66	4.600930556	-74.16702222	BOSA	C006
COL INST INSCAP SEDE FERIAS	NO OFICIAL	67	2331045	PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS	AC 72 70 51	4.684352778	-74.08384444	ENGATIVA	C007
CENT PANAMERICANO DE CAPACITACION SEDE RESTREPO	NO OFICIAL	80	2541625	PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS	CL 22 SUR 16 50	4.582227778	-74.10326944	ANTONIO NARIÑO	C008
COL CIUDAD PATIO BONITO	NO OFICIAL	109	2658532	TRADICIONAL	KR 87 F 34 B 21 SUR	4.638091667	-74.16375278	KENNEDY	C009
EXTERN SIMON BOLIVAR	NO OFICIAL	130	2304154	PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS & TRADICIONAL	KR 16 59 23	4.6469	-74.06759167	TEUSAQUILLO	C010
COL DE FORMACION INTEGRAL VIRGEN DE LA PEÑA	NO OFICIAL	174	2764885	TRADICIONAL	CL 70 C 108 05	4.708158333	-74.12639444	ENGATIVA	C011
COL CLARETIANO EL LIBERTADOR  - SEDE PRINCIPAL	NO OFICIAL	157	2762739	TRADICIONAL	CL 61 SUR 80 H 40	4.610283333	-74.18435278	BOSA	C012
COL LA NUEVA ESTANCIA	NO OFICIAL	78	2697308	TRADICIONAL	KR 74 J 58 52 SUR	4.593669444	-74.17299167	CIUDAD BOLIVAR	C013
UNID EDUC JEAN PIAGET	NO OFICIAL	68	2723088	TRADICIONAL	CL 2 B 70 A 57	4.624452778	-74.13200278	KENNEDY	C014
COL ESTRADA DE MARIA AUXILIADORA	NO OFICIAL	40	276125	TRADICIONAL	KR 69 A 66 27	4.676072222	-74.09289722	ENGATIVA	C015
COLEGIO MAYOR PRIMEROS MAESTROS	NO OFICIAL	36	283.75	PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS & TRADICIONAL	CL 74 A 81 A 14	4.696211111	-74.10090556	ENGATIVA	C016
INST TENERIFE	NO OFICIAL	43	2683256	TRADICIONAL	CL 56 A SUR 78 51	4.6113	-74.173575	KENNEDY	C017
INST ACAD BETHEL	NO OFICIAL	29	2707241	TRADICIONAL	AV CARACAS 15 20 SUR	4.583894444	-74.08356667	SAN CRISTOBAL	C018
COLEGIO ERNESTO GUHL - SEDE PRINCIPAL	NO OFICIAL	18	2727778	TRADICIONAL	CL 42 G SUR 87 G 16	4.633130556	-74.17246111	KENNEDY	C019
COL ARTEAGA MUÑOZ	NO OFICIAL	28	274	TRADICIONAL	CL 18 SUR 13 89	4.582138889	-74.09883056	ANTONIO NARIÑO	C020
