OBJECTID,X,Y,Anio
12328,-74.06277643,4.658743231,2010
12330,-74.0851344,4.689364484,2010
12331,-74.13267457,4.62288235,2010
12332,-74.0816432,4.586576306,2010
12333,-74.08197759,4.668469771,2010
12334,-74.11395339,4.697875686,2010
12335,-74.07158856,4.598213185,2010
12336,-74.10704961,4.7402139,2010
12337,-74.10277088,4.615935845,2010
12339,-74.05618409,4.644470881,2010
12340,-74.13564007,4.630741401,2010
12341,-74.0713535,4.609489039,2010
12343,-74.09256248,4.611651525,2010
12344,-74.17714102,4.625951865,2010
12345,-74.17096839,4.641470332,2010
12346,-74.11387775,4.594317939,2010
12347,-74.18729613,4.611976675,2010
12348,-74.06863637,4.619561372,2010
12349,-74.04662838,4.722254523,2010
12350,-74.08298127,4.603411727,2010
12351,-74.11341988,4.723648134,2010
12352,-74.10502834,4.606403854,2010
12353,-74.06995128,4.610952225,2010
12354,-74.08172169,4.528665483,2010
12355,-74.04312311,4.738649277,2010
12356,-74.15305137,4.579996829,2010
12358,-74.15412383,4.598833903,2010
12359,-74.04470221,4.680107831,2010
12360,-74.02404355,4.705132539,2010
12362,-74.08207105,4.631702654,2010
12364,-74.15378492,4.677745065,2010
12367,-74.0626786,4.642097356,2010
12368,-74.10371722,4.605468239,2010
12369,-74.04266252,4.702596296,2010
12370,-74.06674267,4.638541818,2010
12371,-74.07980642,4.644976234,2010
12372,-74.11425928,4.650360246,2010
12373,-74.092486,4.645957579,2010
12374,-74.12049094,4.58354645,2010
12376,-74.06710842,4.627372975,2010
12377,-74.05735589,4.649405412,2010
12379,-74.06947863,4.658988934,2010
12380,-74.07431501,4.60207999,2010
12382,-74.18751957,4.598347491,2010
12383,-74.13556405,4.557055573,2010
12385,-74.02519444,4.725574627,2010
12387,-74.03484157,4.726793087,2010
12388,-74.06307276,4.743625974,2010
12389,-74.0486202,4.683067089,2010
12390,-74.06291789,4.653117706,2010
12392,-74.0454394,4.678725214,2010
12393,-74.08403908,4.68510301,2010
12397,-74.07205826,4.717230095,2010
12399,-74.09799667,4.633234473,2010
12400,-74.13395946,4.580091774,2010
12402,-74.06390078,4.64054405,2010
12404,-74.06816786,4.602686839,2010
12405,-74.13137774,4.681108074,2010
12406,-74.07962709,4.590620005,2010
12407,-74.0726579,4.602472696,2010
12410,-74.12244752,4.6292598,2010
12412,-74.1240791,4.593625058,2010
12413,-74.0722194,4.597200112,2010
12414,-74.18996363,4.62271985,2010
12416,-74.09967805,4.571837131,2010
12417,-74.12848038,4.739234488,2010
12418,-74.06109005,4.6899136,2010
12420,-74.06206364,4.672463216,2010
12421,-74.07982258,4.678788032,2010
12422,-74.0740339,4.640718549,2010
12423,-74.11387478,4.572171606,2010
12424,-74.06358165,4.643830319,2010
12425,-74.12028446,4.525875731,2010
12426,-74.04277162,4.700857676,2010
12428,-74.14086481,4.630310425,2010
12430,-74.06559006,4.654700198,2010
12432,-74.14344852,4.547084306,2010
12433,-74.14275128,4.561170465,2010
12435,-74.10205504,4.600936816,2010
12436,-74.03828674,4.728345045,2010
12437,-74.07606147,4.641123044,2010
12438,-74.07122084,4.616119709,2010
12439,-74.07303619,4.66863681,2010
12440,-74.08099306,4.604349531,2010
12441,-74.05215977,4.68623967,2010
12443,-74.07251259,4.615413439,2010
12445,-74.11519078,4.699625421,2010
12446,-74.1586447,4.620594031,2010
12447,-74.0497577,4.685803187,2010
12448,-74.07369335,4.59701892,2010
12449,-74.17946322,4.597160132,2010
12452,-74.09324298,4.751872889,2010
12453,-74.04983084,4.751382236,2010
12455,-74.07165148,4.598286967,2010
12456,-74.09610075,4.621329319,2010
12458,-74.04615585,4.749143134,2010
12459,-74.12025165,4.584814212,2010
12460,-74.06690454,4.618022451,2010
12462,-74.07131903,4.613626934,2010
12464,-74.0850343,4.737756252,2010
12466,-74.07951135,4.735041055,2010
12467,-74.15639963,4.640073416,2010
12468,-74.12671805,4.619631719,2010
12469,-74.11933497,4.611557209,2010
12470,-74.08893543,4.63114283,2010
12471,-74.06393507,4.743880491,2010
12472,-74.15026382,4.681137974,2010
12473,-74.19819418,4.63129363,2010
12474,-74.07216509,4.623545076,2010
12475,-74.09615312,4.605449352,2010
12476,-74.08507503,4.736122195,2010
12479,-74.07954983,4.588626209,2010
12480,-74.04334125,4.762321711,2010
12482,-74.17583325,4.62038581,2010
12483,-74.14796316,4.623596041,2010
12484,-74.09834048,4.630777875,2010
12485,-74.12907896,4.642960824,2010
12486,-74.08644146,4.651404898,2010
12487,-74.09580403,4.726834017,2010
12488,-74.07256785,4.633493915,2010
12489,-74.09789747,4.725456733,2010
12490,-74.08899274,4.629583105,2010
12491,-74.07025027,4.632273911,2010
12492,-74.12080208,4.571024766,2010
12493,-74.12767539,4.667488941,2010
12494,-74.05895933,4.662855713,2010
12495,-74.06651362,4.665076482,2010
12497,-74.07914547,4.634715662,2010
