IDESTABLEC,HORARIO,DIRECCI,NOMBRE_DEL,TIPO_DE_ES,BARRIO,NOMBRE_D_1,POINT_X,POINT_Y
14218,DIA/NOCHE,AV CARACAS 64 36    2y3P,BAR RESERVADO GATITAS (Reservado el Eden),Expendio de bebidas alcohslicas,Chapinero Norte,Chapinero,-74.06402018,4.651590306
14231,NOCTURNO,CL 62 9 49,CORPORACI9N CLUB SOCIAL JURIS SHALAD  P & K. (VIP),Corporaci9n Club Social,Chapinero Central,Chapinero,-74.06144257,4.647886436
14179,NOCTURNO,AK 15 106 82,HOSTERIA RESTAURANTE ROMANO,Alojamiento en hoteles.,Santa Barbara centra i y II,Usaquen,-74.04514537,4.691647983
141105,DIA,AK 15  101 06 L.106,MASAJES FACIAL Y CORPORAL ABA STETIC,Masajes Corporales,Rincon del chico,Usaquen,-74.04800143,4.685005491
141118,NOCHE,AK 45  162 38   P. 2,CORPORACI2N CLUB SOCIAL EL PORTAL CORCLUBSOPOR,Corporaci2n,TOBERIN,USAQUEN,-74.04759999,4.743427882
15729,NOCTURNO,TV 78B  68 15 S,CLUB PRIVADO LUNA PARK,Expendio de licores.,Despensa,Bosa,-74.18892126,4.604734277
15837,NOCTURNO,AV 1 de mayo  71D 01 S,BAR LA PRIMERA VEZ (pasarela club),Wiskeria,Carvajal,Kennedy,-74.13803241,4.61696592
15839,NOCTURNO,AV 1 de mayo  69A 07 S,COCO MIEL,Video bar,Carvajal,Kennedy,-74.13505963,4.613512792
15859,NOCTURNO,TV 79C  43A 09 S,CLUB SIRENAS SHOW,Venta y consumo de licores,Onasis,Kennedy,-74.97740213,3.691879226
15876,NOCTURNO,KR 86  38D 34   S P.2,WISKERIA LONDRES (londres de la 86),Expendio de Bebidas alcoh licas,Llano Grande (Pinares del Ric),Kennedy,-74.16579497,4.638074511
158131,DIA/NOCHE,DG 38 S 85 15 P.2,WISKERIA EL CAIRO (saldn el cairo) (Panteitas Show),Expendio de licores,Maria paz,Kennedy,-74.16293169,4.634508002
158180,NOCHE,AV 1 de mayo  69C 40 S,POLA Y TANGA,Expendio de bebidas alcohelicas,Carvajal,Kennedy,-74.13614964,4.615194154
1114162,DIA/NOCHE,AC 1  24 60,CLUB HAKARANDA,Consumo y venta de bebidas alcoholicas.,El Vergel,Martires,-74.09684483,4.594423997
1114326,DIA/NOCHE,AC 22  14 08,RESIDENCIAS VIENA,Residencia,Santafe,Martires,-74.07698523,4.609321183
1251,NOCTURNO,AK 1 73A 17 S,LATIN POWER DE LA 73 (Salon de diversiones porkis),Expendio y consumo de bebidas.,El Jordan,Usme,-74.11738889,4.518046744
1252,NOCTURNO,AK 1 74B 47 S,CORPORACI4N SOCIAL U CULTURAL CLUB PARAISO TROPICAL,Corporaci4n,Sta Librada,Usme,-74.11685608,4.51577047
1254,NOCTURNO,AK 1 77 07  S P2,CORPORACI7N SOCIAL Y CULTURAL MOMENTOS CLUB (Video bar punto 54),Corporaci7n,Sta Librada,Usme,-74.11476284,4.511154814
12613,DIA/NOCHE,AC 51  15A 17 P1 S,LAS DELICIAS SHOW,Expendio de licores,Tunjuelito,Tunjuelito,-74.06815232,4.640616777
12618,DIA/NOCHE,AVENIDA DEL SUR 50 91,GRILL BAR PORKIS,Venta y consumo de licores,Venecia,Tunjuelito,-74.13668656,4.594714881
12622,DIA/NOCHE,AVENIDA DEL SUR  52 45 P.2,SEDE SALON CHICAGO (Wiskeria chicago bar),CorporaciNn,Venecia,Tunjuelito,-74.13964182,4.595197512
12623,NOCTURNO,AVENIDA DEL SUR 52 83 P. 2,GRILL BAR REINA DE CORAZONES,Consumo de licores.,Venecia,Tunjuelito,-74.1392037,4.595134683
12646,NOCTURNO,AVENIDA DEL SUR  51 33,GRILL BAR OBSESI N NIGHT(azafatas),Venta y consumo de licores,Venecia,Tunjuelito,-74.13941636,4.595276819
12650,NOCTURNO,AVENIDA DEL SUR  52 45 P.1,SUENO TROPICAL BAR,Servicio de licores bar grill,Venecia,Tunjuelito,-74.13964182,4.595197512
12651,NOCTURNO,Kr 46B 55 59 S,BAR BAILEY,Expendio de bebidas Alcoholicas,San Carlos,Tunjuelito,-74.97740213,3.691879226
12552,NOCTURNO,Cl 89  45C 25 Este S,WISKERIA SHOW PEQUITAS CLUB,Expendio de bebidas alcoholicas,Santa librada,Usme,-74.97740213,3.691879226
121855,NOCTURNO,TV 23 41B 12 S,VIDEO BAR LAS JUANITAS,Venta de bebidas alcoholicas,Inglos,Rafael Uribe,-74.12473066,4.582047544
12557,NOCTURNO,Av usme  39 17 S,RUMBA TROPICAL,CorporaciPn Social y Cultural,Santa Librada,Usme,-74.97740213,3.691879226
1418,NOCTURNO,CL 187  17A 15  P2,TABERNA BAR YEYOS (Club calle 187),Venta de consumo de licor.,El verbenal II sector,Usaquen,-74.03863251,4.764512949
1417,DIA/NOCHE,AK 15  116 59  L203,ABADOD,Sala de masajes,Santa Barbara occidental,Usaquen,-74.04342842,4.697149172
14235,NOCTURNO,CL 95  14 45,CORPORACI N CLUB SOCIAL LOS ANGELES A.J. (Cormujer sede los angeles) (Restaurante revista lido de Bogot|),Corporaci n privada,Chico Norte,Chapinero,-74.04957656,4.680505012
163125,DIA/NOCHE,Cl 3A  10 47,TIENDA DONDE BETY. BEATRIZ RAMIREZ,Venta y consumo de licor,San Bernardo,Santafe,-74.08294721,4.593045787
163122,SIN INFORMACION,Cl 3  10 81,TIENDA NATHALIA DE LA 3a.,Venta y consumo de licores,San Bernardo,Santafe,-74.08309485,4.592366585
163324,SIN INFORMACION,Kr 10A  3 70,LA VILLA,Hospedaje,San Bernardo,Santafe,-74.08314405,4.593066422
