Nombre,Icfes,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte
COL INST INSCAP SEDE FERIAS,233.1045,0.0,7.819999999999999,8.0,5.0,10.0,8.950000000000001,10.0
COL DE FORMACION INTEGRAL VIRGEN DE LA PEÑA,276.4885,0.0,7.25,10.0,5.0,10.0,10.0,4.75
COL ESTRADA DE MARIA AUXILIADORA,276.125,0.0,3.4299999999999997,10.0,5.0,10.0,9.15,10.0
COLEGIO MAYOR PRIMEROS MAESTROS,283.75,0.0,4.69,4.0,5.0,10.0,10.0,9.75
LIC LA ESPAÑOLA GABRIEL ANZOLA GOMEZ,292.58820000000003,0.0,9.65,10.0,5.0,10.0,10.0,10.0
COL CATOLICO DE LA SABANA,305.07140000000004,4.0,9.13,10.0,6.0,10.0,9.7,5.0
INST SUP COOPERATIVO,290.4,0.0,6.85,10.0,5.0,10.0,10.0,10.0
COL TOMAS ALVA EDISON,297.24490000000003,4.0,9.95,10.0,5.0,8.25,8.1,4.0
COL CAFAM,310.6316,8.0,7.040000000000001,10.0,5.0,10.0,8.5,10.0
COL DE BTO UNIVERSIDAD LIBRE,324.6275,0.0,9.0,10.0,5.0,10.0,8.65,10.0
CENT CIAL DE EDUC MEDIA MARGARITA BOSCO,323.46670000000006,0.0,8.2,8.0,5.0,10.0,9.600000000000001,10.0
COL REAL DE COLOMBIA - SEDE PRINCIPAL,293.1395,0.0,7.340000000000001,10.0,5.0,10.0,10.0,5.0
INST TOMAS DE IRIARTE,298.84620000000007,0.0,4.95,10.0,6.0,10.0,10.0,6.75
COL COOP MINUTO DE DIOS,264.77779999999996,0.0,8.75,10.0,5.0,10.0,10.0,10.0
COL EL MINUTO DE DIOS,317.16,0.0,8.65,10.0,5.0,10.0,10.0,10.0
COL RR OBLATAS AL DIVINO AMOR,315.7302,0.0,6.85,10.0,5.0,10.0,8.600000000000001,10.0
CENT EDUC DIST GUILLERMO LEON VALENCIA,272.41940000000005,0.0,6.65,6.0,6.0,10.0,10.0,9.0
COL DIST MARIANO OSPINA PEREZ,272.3171,0.0,8.790000000000001,8.0,5.0,10.0,9.05,10.0
COLEGIO RODOLFO LLINAS IED - SEDE PRINCIPAL,298.0203,8.0,9.7,10.0,5.0,10.0,10.0,5.75
CENT EDUC DIST MANUELA AYALA DE GAITAN,281.4968,0.0,6.38,4.0,6.0,10.0,10.0,9.75
CENT EDUC DIST NUEVA CONSTITUCION,253.35250000000002,0.0,7.2,10.0,5.0,10.0,10.0,5.0
COL DIST SIMON BOLIVAR,281.70500000000004,0.0,8.1,8.0,5.0,10.0,10.0,7.25
CENT EDUC DIST ANTONIO VILLAVICENCIO,229.8841,10.0,9.5,10.0,5.0,10.0,8.05,3.75
LICEO NAL MAGDALENA ORTEGA DE NARIÑO,280.42269999999996,0.0,6.03,10.0,5.0,10.0,8.9,10.0
