Nombre,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte,Total
COL DE FORMACION INTEGRAL VIRGEN DE LA PEÑA,7.45,6.81,9.0,1.0,7.25,4.15,2.75,5.487142857142857
UNID EDUC JEAN PIAGET,0.049999999999998934,5.84,10.0,1.0,8.5,4.4,4.75,4.934285714285714
ESC NORMAL SUPERIOR NSTRA SRA DE LA PAZ,5.25,7.809999999999999,5.0,3.0,8.25,6.9,8.5,6.387142857142857
COL MARIA INMACULADA,7.1,4.36,9.0,3.5,6.0,1.175,4.75,5.126428571428572
CENT CIAL DE EDUC MEDIA MARGARITA BOSCO,3.1499999999999995,7.3999999999999995,5.0,2.0,10.0,3.8000000000000003,10.0,5.907142857142857
GIMNASIO MODELIA REAL - SEDE PRINCIPAL,0.04999999999999993,6.51,9.0,1.0,10.0,2.725,6.75,5.147857142857142
COL LUTERANO SAN LUCAS,1.2999999999999998,0.0,0.0,1.0,7.0,6.675000000000001,4.5,2.9250000000000003
COL DE LA PRESENTACION SANS FACON,6.5,8.24,10.0,3.0,6.25,1.25,6.0,5.8914285714285715
GIMN MILIT FUERZA AEREA DE COLOMBIA,0.0,6.419999999999998,7.0,2.5,7.5,5.725,4.75,4.842142857142856
COL RR OBLATAS AL DIVINO AMOR,4.05,6.1499999999999995,9.0,2.0,10.0,3.3000000000000003,10.0,6.357142857142857
COL NAL CLEMENCIA DE CAYCEDO,6.75,4.2,7.0,2.0,7.25,7.575000000000001,8.25,6.146428571428571
CENT EDUC DIST QUIROGA ALIANZA,7.95,4.539999999999999,7.0,1.0,7.0,7.200000000000001,7.0,5.9557142857142855
CENT EDUC DIST EL JAZMIN,8.3,6.76,10.0,0.0,9.25,5.75,7.5,6.7942857142857145
LICEO FEM DE CUNDINAMARCA MERCEDES NARIÑO,0.0,4.800000000000001,0.0,3.0,8.25,7.55,9.5,4.728571428571429
CENT EDUC DIST NUEVA ESPERANZA,9.4,9.8,10.0,0.0,1.0,3.725,1.0,4.989285714285715
COL DIST TOBERIN,7.65,8.290000000000001,9.0,5.0,6.75,1.3,5.75,6.248571428571428
SALUDCOOP NORTE (INST EDUC DIST),6.75,6.05,9.0,2.0,5.5,1.1750000000000003,7.5,5.425
