Nombre,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte, Total
COL MARIA INMACULADA,8.0,4.790000000000001,10.0,3.5,6.0,2.35,4.75,5.627142857142857
COL MAYOR JOSE CELESTINO MUTIS,3.5,7.05,10.0,2.0,4.0,2.1500000000000004,6.25,4.992857142857143
LIC PSICOPEDAG TIBABITA,10.0,10.0,10.0,1.0,3.0,1.55,5.5,5.864285714285714
COL DE LA PRESENTACION SANS FACON,7.0,9.15,10.0,3.0,6.25,2.5,6.0,6.271428571428571
LIC  DE CERVANTES PADRES AGUSTINOS,9.5,8.59,10.0,0.0,7.5,3.3500000000000005,5.25,6.312857142857143
COL PROVINMA,9.5,8.14,10.0,0.0,9.75,2.2,3.5,6.155714285714287
CENT EDUC NAL PILOTO BAVARIA,5.5,3.85,10.0,3.5,7.0,2.7,4.5,5.292857142857144
COL DIST TOBERIN,8.5,9.030000000000001,10.0,5.0,6.75,2.6,5.75,6.804285714285714
SALUDCOOP NORTE (INST EDUC DIST),9.5,6.8,10.0,2.0,5.5,2.3500000000000005,7.5,6.235714285714286
CENT EDUC DIST DE USAQUEN (ANTIGUA COLONIA ESCOLAR DE VACACI,10.0,8.95,10.0,0.0,10.0,2.3,4.75,6.571428571428571
CENT EDUC DIST PRADO VERANIEGO II,6.5,8.7,8.0,1.0,10.0,4.05,5.0,6.178571428571429
