Nombre,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte, Total
COL BRITANICO SEDE KENNEDY,1.75,4.25,6.0,3.0,6.25,10.0,4.0,5.035714285714286
COL CIUDAD PATIO BONITO,0.0,2.99,0.0,2.5,3.5,10.0,3.0,3.141428571428572
UNID EDUC JEAN PIAGET,8.5,6.58,10.0,1.0,8.5,8.8,4.75,6.8757142857142854
INST TENERIFE,0.0,7.790000000000001,10.0,5.0,2.75,10.0,2.75,5.47
COLEGIO ERNESTO GUHL - SEDE PRINCIPAL,1.75,6.99,10.0,2.0,2.0,10.0,3.0,5.105714285714286
COLEGIO FRANCISCO I,7.0,5.15,10.0,6.0,2.0,10.0,2.5,6.0928571428571425
COLEGIO SANTO DOMINGO BILINGÜE,2.75,9.3,8.0,0.0,6.25,10.0,4.75,5.864285714285714
COLEGIO AGUSTINIANO TAGASTE - SEDE PRINCIPAL,10.0,9.9,10.0,0.0,7.25,5.75,3.0,6.557142857142857
COL RAFAEL GOBERNA II SEDE,7.5,4.890000000000001,8.0,0.0,7.25,10.0,4.0,5.948571428571428
COL JAIME QUIJANO CABALLERO,0.75,5.48,2.0,2.0,6.0,10.0,4.25,4.354285714285714
INSTITUTO COMERCIAL LORETO - SEDE PRINCIPAL,7.25,9.35,10.0,1.0,4.75,10.0,4.0,6.621428571428572
COL LUTERANO SAN LUCAS,0.75,0.14999999999999974,4.0,1.0,7.0,10.0,4.5,3.914285714285714
COL SANTA LUISA,8.0,8.75,10.0,2.5,4.25,10.0,4.5,6.857142857142857
GIMN MILIT FUERZA AEREA DE COLOMBIA,0.0,7.619999999999998,10.0,2.5,7.5,10.0,4.75,6.0528571428571425
COL GENERAL GUSTAVO ROJAS PINILLA,6.0,6.94,10.0,0.0,9.25,6.4,5.0,6.227142857142857
INEM FRANCISCO DE PAULA SANTANDER,6.5,7.15,10.0,3.5,5.75,10.0,4.0,6.7
CENT EDUC DIST BAS Y MEDIA O.E.A,0.0,8.75,0.0,3.5,8.0,10.0,4.5,4.964285714285714
CEDID ALFONSO LOPEZ PUMAREJO,0.75,9.4,10.0,2.0,6.5,10.0,5.75,6.3428571428571425
COL DIST CARLOS ARANGO VELEZ,0.0,9.0,0.0,3.5,8.0,10.0,5.25,5.107142857142857
CENT EDUC DIST ALQUERIA LA FRAGUA,2.25,9.05,10.0,2.0,6.75,10.0,5.5,6.507142857142857
CENT EDUC DIST CLASS,4.5,6.45,10.0,6.0,2.0,10.0,2.25,5.885714285714286
CENT EDUC DIST PAULO VI,5.5,8.14,8.0,7.0,4.75,10.0,4.25,6.805714285714286
COL DIST EDUC BAS Y MEDIA PROSPERO PINZON,0.5,3.48,8.0,2.0,7.0,10.0,4.5,5.068571428571429
CENT EDUC DIST FRANCISCO DE MIRANDA,8.0,9.34,10.0,1.0,4.5,10.0,4.25,6.727142857142858
