Nombre,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte,Total
CENT EDUC NAL PILOTO BAVARIA,5.5,3.85,10.0,3.5,7.0,2.7,4.5,5.292857142857144
CENT EDUC DIST SIMON BOLIVAR,0.0,2.8299999999999996,10.0,5.0,6.75,7.6000000000000005,3.5,5.097142857142857
COL NAL CLEMENCIA DE CAYCEDO,8.5,5.390000000000001,8.0,2.0,7.25,10.0,8.25,7.055714285714286
COL DEPT INTEGRADO FONTIBON,10.0,6.28,6.0,2.0,3.75,6.450000000000001,2.5,5.282857142857144
COL DIST GUILLERMO LEON VALENCIA,0.0,3.24,10.0,5.5,8.75,10.0,8.5,6.57
COL DIST TOMAS CARRASQUILLA,3.0,5.43,6.0,3.5,10.0,6.550000000000001,10.0,6.354285714285715
CENT EDUC DIST ALVARO GOMEZ HURTADO,6.0,0.34999999999999987,10.0,4.5,7.25,10.0,3.75,5.978571428571429
CENT EDUC DIST ANTONIO VAN UDEN,10.0,9.190000000000001,10.0,1.0,2.0,3.8500000000000005,2.5,5.505714285714285
CENT EDUC DIST RUFINO JOSE CUERVO,8.0,8.95,8.0,2.0,4.25,10.0,4.75,6.564285714285715
CENT EDUC DIST FLORENTINO GONZALEZ,6.5,9.55,10.0,5.5,7.0,10.0,6.0,7.792857142857143
CENT EDUC DIST BRAVO PAEZ,9.0,7.9,10.0,1.0,7.0,10.0,7.25,7.45
COL MARIA CANO (NIS EDUC DIST),0.0,7.4,0.0,3.0,8.0,10.0,10.0,5.485714285714286
CENT EDUC DIST ANTONIO BARAYA,0.0,0.0,0.0,6.0,8.25,10.0,9.75,4.857142857142857
COL DIST REP DE PANAMA,2.75,0.03999999999999982,10.0,3.5,10.0,6.15,10.0,6.062857142857142
CENT EDUC DIST GUILLERMO LEON VALENCIA,2.5,6.65,6.0,2.5,10.0,10.0,7.0,6.378571428571428
CENT EDUC DIST REP DE VENEZUELA,5.0,0.0,0.0,4.5,10.0,10.0,9.0,5.5
CENT EDUC DIST QUIROGA ALIANZA,9.5,5.88,10.0,1.0,7.0,10.0,7.0,7.197142857142857
CENT EDUC DIST EDUARDO SANTOS,10.0,6.590000000000001,4.0,3.0,10.0,10.0,8.25,7.405714285714287
COL DIST MARIANO OSPINA PEREZ,6.0,8.790000000000001,8.0,2.0,10.0,7.050000000000001,10.0,7.405714285714287
CENT EDUC DIST RODRIGO ARENAS BETANCOURT,10.0,4.340000000000001,0.0,3.5,6.5,5.95,2.0,4.612857142857143
CEDIT FRANCISCO DE PAULA SANTANDER,0.75,8.45,8.0,4.5,8.0,10.0,8.5,6.885714285714286
CENT EDUC DIST ALEJANDRO OBREGON,6.0,7.5,6.0,1.0,7.0,10.0,8.5,6.571428571428571
