Nombre,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte,Total
COL COLOMBO JAPONES,236.0857,0.0,9.34,10.0,1.0,3.0,10.0,4.0,5.3342857142857145
EXTERN SIMON BOLIVAR,230.4154,0.0,0.0,0.0,10.0,10.0,7.1000000000000005,10.0,5.3
COLEGIO MAYOR PRIMEROS MAESTROS,283.75,4.0,4.69,4.0,2.0,10.0,9.400000000000002,7.75,5.977142857142858
COL DE LA ENSEÑANZA,334.46840000000003,10.0,10.0,10.0,0.0,2.5,1.1500000000000001,8.5,6.021428571428571
COL COOP MINUTO DE DIOS,264.77779999999996,0.0,8.75,10.0,1.0,10.0,8.55,9.75,6.864285714285714
COL BOGOTANO MIXTO,315.0,0.0,0.0,0.0,10.0,10.0,7.75,10.0,5.392857142857143
CENT EDUC DIST SIMON BOLIVAR,251.80879999999996,0.0,2.8299999999999996,10.0,5.0,6.75,7.6000000000000005,3.5,5.097142857142857
COL NAL CLEMENCIA DE CAYCEDO,256.7011,8.5,5.390000000000001,8.0,2.0,7.25,10.0,8.25,7.055714285714286
COL DEPT INTEGRADO FONTIBON,250.5311,10.0,6.28,6.0,2.0,3.75,6.450000000000001,2.5,5.282857142857144
COL DIST GUILLERMO LEON VALENCIA,257.80620000000005,0.0,3.24,10.0,5.5,8.75,10.0,8.5,6.57
CENT EDUC DIST BRAVO PAEZ,265.30170000000004,9.0,7.9,10.0,1.0,7.0,10.0,7.25,7.45
CEDIT FRANCISCO DE PAULA SANTANDER,273.92539999999997,0.75,8.45,8.0,4.5,8.0,10.0,8.5,6.885714285714286
LICEO FEM DE CUNDINAMARCA MERCEDES NARIÑO,282.8268,0.0,6.630000000000001,0.0,3.0,8.25,10.0,9.5,5.340000000000001
CENT EDUC DIST SAN BERNARDINO,255.57840000000002,9.5,7.5,10.0,1.0,1.25,9.150000000000002,2.5,5.842857142857143
COL DIST EDUC BAS Y MEDIA LOS ALPES,249.26349999999996,4.5,7.540000000000001,10.0,1.0,4.0,10.0,3.0,5.72
CEDID CIUDAD BOLIVAR,248.39049999999997,2.0,5.1,10.0,2.5,3.0,10.0,3.5,5.1571428571428575
CENT EDUC DIST MARRUECOS Y MOLINOS,263.8401,5.0,9.5,10.0,5.0,3.5,10.0,4.5,6.785714285714286
CENT EDUC DIST ISMAEL PERDOMO,257.71909999999997,3.75,9.15,10.0,7.5,3.0,10.0,3.0,6.628571428571428
COL DIST ANTONIO JOSE URIBE,244.6364,7.5,0.0,0.0,9.0,10.0,10.0,7.0,6.214285714285714
CENT EDUC DIST ANTONIO VILLAVICENCIO,229.8841,10.0,9.5,10.0,1.0,5.0,6.05,1.75,6.185714285714285
CENT EDUC DIST REINO DE HOLANDA,247.3886,3.25,6.75,10.0,0.0,5.75,10.0,6.5,6.035714285714286
INST TEC IND PILOTO,270.3299,2.0,2.5999999999999996,10.0,4.5,6.5,10.0,6.25,5.978571428571429
LICEO NAL MAGDALENA ORTEGA DE NARIÑO,280.42269999999996,1.5,6.03,10.0,2.0,10.0,6.9,10.0,6.632857142857143
