FID,X,Y,Ano
0,-74.08291416,4.617061048,2010
1,-74.12796689,4.620972438,2010
2,-74.11653906,4.63641771,2010
3,-74.07019699,4.604565529,2010
4,-74.13353824,4.680859749,2010
5,-74.08034593,4.594681829,2010
6,-74.13873085,4.630771484,2010
7,-74.13765636,4.707202356,2010
8,-74.09838979,4.689703387,2010
9,-74.10324031,4.693863545,2010
10,-74.12473056,4.726376367,2010
11,-74.10760217,4.692539556,2010
12,-74.11503942,4.504489771,2010
13,-74.03881394,4.670808892,2010
14,-74.09545281,4.748550373,2010
15,-74.06522913,4.64500806,2010
16,-74.07251259,4.615413439,2010
17,-74.07760084,4.608388009,2010
18,-74.12536382,4.563971622,2010
19,-74.04945595,4.702477666,2010
20,-74.14012797,4.615072508,2010
21,-74.15053999,4.645593117,2010
22,-74.11369685,4.697718608,2010
23,-74.08244394,4.600240152,2010
24,-74.04939438,4.700729251,2010
25,-74.08880159,4.600172476,2010
26,-74.10568348,4.618677944,2010
27,-74.18032995,4.606241056,2010
28,-74.09956334,4.681220008,2010
29,-74.09864336,4.68162279,2010
30,-74.12833543,4.647377443,2010
31,-74.09329956,4.689367869,2010
32,-74.09238842,4.690686236,2010
33,-74.07251259,4.615413439,2010
34,-74.08702044,4.593674728,2010
35,-74.10190907,4.692814101,2010
36,-74.10190907,4.692814101,2010
37,-74.06474719,4.603548229,2010
38,-74.07099461,4.604746527,2010
39,-74.11420609,4.697882647,2010
40,-74.08641931,4.594395533,2010
41,-74.17729902,4.597333707,2010
42,-74.0585063,4.699496323,2010
43,-74.09553886,4.729368447,2010
44,-74.0702954,4.59870495,2010
45,-74.11356858,4.697640069,2010
46,-74.11356858,4.697640069,2010
47,-74.11356858,4.697640069,2010
48,-74.02773756,4.764759195,2010
49,-74.12997187,4.660632972,2010
50,-74.08042874,4.589144404,2010
51,-74.08186612,4.589892218,2010
52,-74.0731478,4.612311367,2010
53,-74.15441059,4.685526707,2010
54,-74.15394897,4.621625492,2010
55,-74.08316405,4.593794376,2010
56,-74.12046452,4.556833173,2010
57,-74.12275036,4.702166066,2010
58,-74.06475825,4.661238222,2010
59,-74.1199615,4.74598302,2010
60,-74.06256168,4.746154068,2010
61,-74.06840054,4.605300317,2010
62,-74.08238102,4.592055436,2010
63,-74.13482343,4.582830461,2010
64,-74.11771645,4.514262052,2010
65,-74.17482725,4.57287114,2010
66,-74.11760288,4.712920335,2010
67,-74.12473056,4.726376367,2010
68,-74.09936633,4.598673349,2010
69,-74.07883911,4.582533737,2010
70,-74.06319146,4.697322028,2010
71,-74.04496413,4.692762537,2010
72,-74.04832551,4.695001981,2010
73,-74.07887473,4.600682605,2010
74,-74.0810829,4.602140881,2010
75,-74.08271072,4.575303924,2010
76,-74.04329811,4.696646668,2010
77,-74.0312118,4.694077934,2010
78,-74.08486256,4.605727645,2010
79,-74.08114868,4.603321644,2010
80,-74.08335556,4.604720993,2010
81,-74.09458338,4.585925618,2010
82,-74.1020782,4.726348997,2010
83,-74.0924774,4.727481231,2010
84,-74.04287919,4.704402065,2010
85,-74.06211521,4.71141725,2010
86,-74.07045399,4.711508294,2010
87,-74.09006429,4.718008523,2010
88,-74.09323923,4.721884872,2010
89,-74.09704994,4.724615041,2010
90,-74.09700577,4.724740001,2010
91,-74.09715987,4.726471292,2010
92,-74.08888049,4.727338595,2010
93,-74.05615726,4.715158143,2010
94,-74.09014857,4.7232972,2010
95,-74.06383325,4.71676887,2010
96,-74.08982629,4.72376465,2010
97,-74.08760991,4.725098559,2010
98,-74.10596143,4.733276227,2010
99,-74.07663535,4.601407595,2010
100,-74.07895025,4.603110005,2010
101,-74.10335427,4.735580578,2010
102,-74.08581407,4.726596683,2010
103,-74.10852627,4.736558128,2010
104,-74.10395777,4.735682916,2010
105,-74.06994077,4.722279268,2010
106,-74.12326519,4.741803066,2010
107,-74.10143954,4.736583128,2010
108,-74.1063697,4.738530617,2010
109,-74.11439932,4.740976254,2010
110,-74.09210264,4.733428091,2010
111,-74.12450779,4.742054803,2010
112,-74.11216919,4.742494646,2010
113,-74.10029731,4.737989043,2010
114,-74.12800621,4.741532956,2010
115,-74.04655204,4.71729372,2010
116,-74.03282859,4.713103468,2010
117,-74.0940707,4.737555997,2010
118,-74.12881099,4.741956116,2010
119,-74.0471624,4.720463174,2010
120,-74.10717526,4.743952612,2010
121,-74.063297,4.727714212,2010
122,-74.09320023,4.739888927,2010
123,-74.10016043,4.742450593,2010
124,-74.11667009,4.747125349,2010
125,-74.09219066,4.741243385,2010
126,-74.11427247,4.749345104,2010
127,-74.12003709,4.750733912,2010
128,-74.10193541,4.749880585,2010
129,-74.04173766,4.727391008,2010
130,-74.08533551,4.740221751,2010
131,-74.04139245,4.729604745,2010
132,-74.08056701,4.570194644,2010
133,-74.07675084,4.603692646,2010
134,-74.08007223,4.606244764,2010
135,-74.08928558,4.577477855,2010
136,-74.09565865,4.754567982,2010
137,-74.02694781,4.732613472,2010
138,-74.03123655,4.73417844,2010
139,-74.02720621,4.734556275,2010
140,-74.02749713,4.734509186,2010
141,-74.09979378,4.585841349,2010
142,-74.01925112,4.732926665,2010
143,-74.03931857,4.739820069,2010
144,-74.04525051,4.741480706,2010
145,-74.03007778,4.737852958,2010
146,-74.02080823,4.735204793,2010
147,-74.02047363,4.736405403,2010
148,-74.01400766,4.733948816,2010
149,-74.02997633,4.740204751,2010
150,-74.01481587,4.735361975,2010
151,-74.03671098,4.743008414,2010
152,-74.01401933,4.736127761,2010
153,-74.04531681,4.746983465,2010
154,-74.0639502,4.75023897,2010
155,-74.05953818,4.749696962,2010
156,-74.1001986,4.585092595,2010
157,-74.06898497,4.601533995,2010
158,-74.14450808,4.671502634,2010
159,-74.12533177,4.614046393,2010
160,-74.09879126,4.583621714,2010
161,-74.10471905,4.589763998,2010
162,-74.08801283,4.57533802,2010
163,-74.07794438,4.607874341,2010
164,-74.14479147,4.672584863,2010
165,-74.15220557,4.682198689,2010
166,-74.07773333,4.608536836,2010
167,-74.09954654,4.583057767,2010
168,-74.03343194,4.756655917,2010
169,-74.03714668,4.757480408,2010
170,-74.03169644,4.758524997,2010
171,-74.04875446,4.758867168,2010
172,-74.02435857,4.759307721,2010
173,-74.02205484,4.760360511,2010
174,-74.05218888,4.764644857,2010
175,-74.0592143,4.769678162,2010
176,-74.03757811,4.763553858,2010
177,-74.03757811,4.763553858,2010
178,-74.03547971,4.765045308,2010
179,-74.03003877,4.764940588,2010
180,-74.02450745,4.765829789,2010
181,-74.03473137,4.766706462,2010
182,-74.07308231,4.606457854,2010
183,-74.06988453,4.604018659,2010
184,-74.07254053,4.605747574,2010
185,-74.07308231,4.606457854,2010
186,-74.10063231,4.60085228,2010
187,-74.10397801,4.603196811,2010
188,-74.10670299,4.605260785,2010
189,-74.12138951,4.615524482,2010
190,-74.16251866,4.64399942,2010
191,-74.08636991,4.593137604,2010
192,-74.08812305,4.588146755,2010
193,-74.1396674,4.621796512,2010
194,-74.07337459,4.607906077,2010
195,-74.07970308,4.612732004,2010
196,-74.07723571,4.611310385,2010
197,-74.16878299,4.694303302,2010
198,-74.07630878,4.611488737,2010
199,-74.08248749,4.615995689,2010
200,-74.1482193,4.685692774,2010
201,-74.14976184,4.687487189,2010
202,-74.1045784,4.583944188,2010
203,-74.13284958,4.617042638,2010
204,-74.08036809,4.617129819,2010
205,-74.0753501,4.612114161,2010
206,-74.07821578,4.616009404,2010
207,-74.07663844,4.614568847,2010
208,-74.11246829,4.654328851,2010
209,-74.13361288,4.675834125,2010
210,-74.07566792,4.612364368,2010
211,-74.07567627,4.612373787,2010
212,-74.07519441,4.613456614,2010
213,-74.1212159,4.667750906,2010
214,-74.07573367,4.614177556,2010
215,-74.07532444,4.613942554,2010
216,-74.15441059,4.685526707,2010
217,-74.10983251,4.658393704,2010
218,-74.09533017,4.571879912,2010
219,-74.10518781,4.655670748,2010
220,-74.10583094,4.658202785,2010
221,-74.09654421,4.572102043,2010
222,-74.1034269,4.578212651,2010
223,-74.1041047,4.578580585,2010
224,-74.1473938,4.625093417,2010
225,-74.14708027,4.624634011,2010
226,-74.06625863,4.6127302,2010
227,-74.10544415,4.57555187,2010
228,-74.10908135,4.581025655,2010
229,-74.12291804,4.600821783,2010
230,-74.07107933,4.586272708,2010
231,-74.06724891,4.582516974,2010
232,-74.09611171,4.60002681,2010
233,-74.09524498,4.599427908,2010
234,-74.09524498,4.599427908,2010
235,-74.08366042,4.59289564,2010
236,-74.07578421,4.58849412,2010
237,-74.09244004,4.563072035,2010
238,-74.06645424,4.616826662,2010
239,-74.09436229,4.563865989,2010
240,-74.07130561,4.620704311,2010
241,-74.11343478,4.574457795,2010
242,-74.11014913,4.574166959,2010
243,-74.09644877,4.561758979,2010
244,-74.10473644,4.5690091,2010
245,-74.10311552,4.565132041,2010
246,-74.1162574,4.573613879,2010
247,-74.11866075,4.587550592,2010
248,-74.10141188,4.564575144,2010
249,-74.10173608,4.564824322,2010
250,-74.11426976,4.569993565,2010
251,-74.13498325,4.605930335,2010
252,-74.16387735,4.635889422,2010
253,-74.16685812,4.639717738,2010
254,-74.14560843,4.611963358,2010
255,-74.14568879,4.614728038,2010
256,-74.16387735,4.635889422,2010
257,-74.1646156,4.636564097,2010
258,-74.16646926,4.6392421,2010
259,-74.17263706,4.647705845,2010
260,-74.10025696,4.558146124,2010
261,-74.09936316,4.555877255,2010
262,-74.16548247,4.636355145,2010
263,-74.10077031,4.5578482,2010
264,-74.08304487,4.593868991,2010
265,-74.17389973,4.646380646,2010
266,-74.11000808,4.565978745,2010
267,-74.11979677,4.576458019,2010
268,-74.10147149,4.557388396,2010
269,-74.16508472,4.633325258,2010
270,-74.11539346,4.569892976,2010
271,-74.15094134,4.613878072,2010
272,-74.16350494,4.628637952,2010
273,-74.16379471,4.62650689,2010
274,-74.17157315,4.640507961,2010
275,-74.1625624,4.626456884,2010
276,-74.12142853,4.576210363,2010
277,-74.16482499,4.628585154,2010
278,-74.16917816,4.632851228,2010
279,-74.16336191,4.624572141,2010
280,-74.17249813,4.640434736,2010
281,-74.17249813,4.640434736,2010
282,-74.16902975,4.632597043,2010
283,-74.17518493,4.642152011,2010
284,-74.17558371,4.6425821,2010
285,-74.17290715,4.637608361,2010
286,-74.17290715,4.637608361,2010
287,-74.16864834,4.623296502,2010
288,-74.07853044,4.635061856,2010
289,-74.17176635,4.625135806,2010
290,-74.17026171,4.622948986,2010
291,-74.12340597,4.570056562,2010
292,-74.16523851,4.613150155,2010
293,-74.10022227,4.547368856,2010
294,-74.13086301,4.581582639,2010
295,-74.10381601,4.546345134,2010
296,-74.17136857,4.618966836,2010
297,-74.18275233,4.640487824,2010
298,-74.16490457,4.612374965,2010
299,-74.10855008,4.54348724,2010
300,-74.11072169,4.616173495,2010
301,-74.11999531,4.624900636,2010
302,-74.08251771,4.594808814,2010
303,-74.08233415,4.59454721,2010
304,-74.13405282,4.627472511,2010
305,-74.1836561,4.637937067,2010
306,-74.13544272,4.585216856,2010
307,-74.06763433,4.638651549,2010
308,-74.1825518,4.633619894,2010
309,-74.18353609,4.635593907,2010
310,-74.12324635,4.559294704,2010
311,-74.17328091,4.619858558,2010
312,-74.13858973,4.586272714,2010
313,-74.11416082,4.544397597,2010
314,-74.13995912,4.582552071,2010
315,-74.1239125,4.557656087,2010
316,-74.1308598,4.568103277,2010
317,-74.18322324,4.62996356,2010
318,-74.18879736,4.635258241,2010
319,-74.16460538,4.602796989,2010
320,-74.17483463,4.614580571,2010
321,-74.05759673,4.640331568,2010
322,-74.11526938,4.538482982,2010
323,-74.11609962,4.539281454,2010
324,-74.11887258,4.541937483,2010
325,-74.1203731,4.543785174,2010
326,-74.11877213,4.542014526,2010
327,-74.19021538,4.633472901,2010
328,-74.06438701,4.64396356,2010
329,-74.17578367,4.609706247,2010
330,-74.19504008,4.636669463,2010
331,-74.14483948,4.572412512,2010
332,-74.136284,4.564023414,2010
333,-74.19566373,4.636238831,2010
334,-74.18956446,4.623582172,2010
335,-74.15905741,4.643685005,2010
336,-74.08878998,4.600163962,2010
337,-74.09065537,4.601354309,2010
338,-74.09658488,4.605784582,2010
339,-74.08309544,4.595933737,2010
340,-74.13754273,4.618614011,2010
341,-74.08172169,4.528665483,2010
342,-74.13713044,4.5592723,2010
343,-74.19029145,4.622576845,2010
344,-74.14276195,4.559431196,2010
345,-74.0978514,4.669037885,2010
346,-74.14167776,4.712574657,2010
347,-74.12395304,4.694606346,2010
348,-74.06346779,4.649474806,2010
349,-74.13355497,4.702306963,2010
350,-74.07246659,4.651161054,2010
351,-74.15617618,4.589327531,2010
352,-74.07596467,4.657298262,2010
353,-74.14003108,4.711203666,2010
354,-74.09952382,4.674039082,2010
