Nombre,Icfes,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte
CENT EDUC PARA JOVENES Y ADULTOS LEPANTO,232.8889,0.0,7.45,10.0,7.0,10.0,10.0,8.5
INST ACAD BETHEL,270.72409999999996,0.0,1.06,10.0,7.0,10.0,10.0,8.25
COL SUR ORIENTAL PANAMERICANO,249.2969,0.0,3.55,10.0,5.0,9.0,10.0,5.0
COL PARROQ ADVENIAT,300.41179999999997,0.0,7.65,10.0,5.0,9.0,10.0,5.0
CENT EDUC DIST FLORENTINO GONZALEZ,259.9296,0.0,9.55,10.0,6.0,10.0,10.0,8.0
CENT EDUC DIST ALTAMIRA SUR ORIENTAL,242.96120000000002,0.0,9.73,10.0,5.0,7.75,10.0,4.5
COL DIST TOMAS RUEDA VARGAS,253.57229999999998,0.0,7.35,10.0,5.0,10.0,10.0,7.5
COL DIST EDUC BAS Y MEDIA LOS ALPES,249.26349999999996,0.0,7.540000000000001,10.0,5.0,9.0,10.0,5.0
CENT EDUC DIST JUAN REY,257.5641,8.0,10.0,10.0,5.0,6.5,9.55,3.25
CENT EDUC DIST COMFENALCO NUEVA ROMA,274.74359999999996,2.0,9.8,10.0,5.0,7.5,10.0,5.75
CENT EDUC DIST EL RODEO,280.3026,0.0,7.65,10.0,5.0,9.0,10.0,5.0
