Nombre,Icfes,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte
NUEVO LIC GRANADINO,266.9565,0.0,0.0,2.0,5.0,6.5,10.0,5.0
CENT EDUC WILFREDO LEHNER,263.9348,0.0,8.65,10.0,6.0,6.5,10.0,4.75
COL COLOMBO JAPONES,236.0857,0.0,9.34,10.0,5.0,8.0,10.0,6.0
COL CLARETIANO EL LIBERTADOR  - SEDE PRINCIPAL,276.2739,0.0,5.75,2.0,6.0,6.5,10.0,4.5
COL NSTRA SRA DE NAZARETH,293.033,0.0,3.0,6.0,5.0,6.5,10.0,4.75
C.E. FORMAL PARA ADULTOS LOS SAUCES - SEDE PRINCIPAL,226.41670000000005,2.0,7.03,10.0,5.0,6.75,10.0,3.75
LIC  ANTONIO DE TOLEDO,283.57280000000003,0.0,6.390000000000001,10.0,10.0,6.5,10.0,4.75
LIC MIX LOS CENTAUROS,277.8571,0.0,5.85,6.0,6.0,6.5,10.0,4.5
CENT EDUC DIST SAN BERNARDINO,255.57840000000002,8.0,7.5,10.0,5.0,6.25,10.0,4.5
COLEGIO JOSÉ FRANCISCO SOCARRAS (IED) - SEDE PRINCIPAL,256.0107,0.0,8.69,6.0,6.0,6.5,10.0,4.5
COL CUIDADELA EDUCATIVA BOSA (INS EDUC DIST),265.89559999999994,10.0,9.690000000000001,10.0,5.0,6.25,9.600000000000001,3.25
CENT EDUC DIST FRANCISCO DE PAULA SANTANDER,262.4904,0.0,5.8,2.0,6.0,6.5,10.0,4.5
INST EDUC DIST LEONARDO POSADA PEDRAZA - SEDE PRINCIPAL,268.4322,2.0,9.4,10.0,5.0,5.75,10.0,4.25
INST EDUC DIST FE Y ALEGRIA SAN IGNACIO,277.188,4.0,6.9,10.0,5.0,6.75,10.0,3.5
