Nombre,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte,Total
COL DE FORMACION INTEGRAL VIRGEN DE LA PEÑA,7.25,7.25,10.0,1.0,7.25,8.3,2.75,6.257142857142857
UNID EDUC JEAN PIAGET,8.5,6.58,10.0,1.0,8.5,8.8,4.75,6.8757142857142854
ESC NORMAL SUPERIOR NSTRA SRA DE LA PAZ,5.25,8.62,6.0,3.0,8.25,10.0,8.5,7.088571428571428
COL MARIA INMACULADA,8.0,4.790000000000001,10.0,3.5,6.0,2.35,4.75,5.627142857142857
CENT CIAL DE EDUC MEDIA MARGARITA BOSCO,5.5,8.2,8.0,2.0,10.0,7.6000000000000005,10.0,7.328571428571429
GIMNASIO MODELIA REAL - SEDE PRINCIPAL,0.0,6.99,10.0,1.0,10.0,5.45,6.75,5.741428571428572
COL LUTERANO SAN LUCAS,0.75,0.14999999999999974,4.0,1.0,7.0,10.0,4.5,3.914285714285714
COL DE LA PRESENTACION SANS FACON,7.0,9.15,10.0,3.0,6.25,2.5,6.0,6.271428571428571
GIMN MILIT FUERZA AEREA DE COLOMBIA,0.0,7.619999999999998,10.0,2.5,7.5,10.0,4.75,6.0528571428571425
COL RR OBLATAS AL DIVINO AMOR,3.5,6.85,10.0,2.0,10.0,6.6000000000000005,10.0,6.992857142857143
COL NAL CLEMENCIA DE CAYCEDO,8.5,5.390000000000001,8.0,2.0,7.25,10.0,8.25,7.055714285714286
CENT EDUC DIST QUIROGA ALIANZA,9.5,5.88,10.0,1.0,7.0,10.0,7.0,7.197142857142857
CENT EDUC DIST EL JAZMIN,9.0,7.45,10.0,0.0,9.25,10.0,7.5,7.6000000000000005
LICEO FEM DE CUNDINAMARCA MERCEDES NARIÑO,0.0,6.630000000000001,0.0,3.0,8.25,10.0,9.5,5.340000000000001
CENT EDUC DIST NUEVA ESPERANZA,9.0,9.790000000000001,10.0,0.0,1.0,7.45,1.0,5.4628571428571435
COL DIST TOBERIN,8.5,9.030000000000001,10.0,5.0,6.75,2.6,5.75,6.804285714285714
SALUDCOOP NORTE (INST EDUC DIST),9.5,6.8,10.0,2.0,5.5,2.3500000000000005,7.5,6.235714285714286
